ID,genotype,root_hair,oryzalin_treated,time,nuc_to_tip_length,tip_growth,root_hair_length
IT3a4_17.3.6_2,iT3,T1,no,0,72.012,0,120.361
IT3a4_17.3.6_2,iT3,T1,no,1,68.813,0.71,121.071
IT3a4_17.3.6_2,iT3,T1,no,2,69.621,0.036,121.107
IT3a4_17.3.6_2,iT3,T1,no,3,70.024,0.95,122.057
IT3a4_17.3.6_2,iT3,T1,no,4,69.217,0.032,122.089
IT3a4_17.3.6_2,iT3,T1,no,5,67.698,0.925,123.014
IT3a4_17.3.6_2,iT3,T1,no,6,72.512,0.303,123.317
IT3a4_17.3.6_2,iT3,T1,no,7,68.833,0.641,123.958
IT3a4_17.3.6_2,iT3,T1,no,8,63.988,1.211,125.169
IT3a4_17.3.6_2,iT3,T1,no,9,62.426,0.643,125.812
IT3a4_17.3.6_2,iT3,T1,no,10,62.332,1.211,127.023
IT3a4_17.3.6_2,iT3,T1,no,11,56.295,1.173,128.196
IT3a4_17.3.6_2,iT3,T1,no,12,53.396,1.834,130.03
IT3a4_17.3.6_2,iT3,T1,no,13,55.917,0.946,130.976
IT3a4_17.3.6_2,iT3,T1,no,14,55.407,1.554,132.53
IT3a4_17.3.6_2,iT3,T1,no,15,55.804,0.887,133.417
IT3a4_17.3.6_2,iT3,T1,no,16,56.607,0.888,134.305
IT3a4_17.3.6_2,iT3,T1,no,17,54.609,1.211,135.516
IT3a4_17.3.6_2,iT3,T1,no,18,51.39,1.27,136.786
IT3a4_17.3.6_2,iT3,T1,no,19,53.79,1.19,137.976
IT3a4_17.3.6_2,iT3,B1,no,0,46.19,0,79.336
IT3a4_17.3.6_2,iT3,B1,no,1,43.723,0.678,80.014
IT3a4_17.3.6_2,iT3,B1,no,2,42.466,0.407,80.421
IT3a4_17.3.6_2,iT3,B1,no,3,44.321,1.36,81.781
IT3a4_17.3.6_2,iT3,B1,no,4,45.558,1.627,83.408
IT3a4_17.3.6_2,iT3,B1,no,5,45.725,1.224,84.632
IT3a4_17.3.6_2,iT3,B1,no,6,45.177,2.166,86.798
IT3a4_17.3.6_2,iT3,B1,no,7,46.515,1.224,88.022
IT3a4_17.3.6_2,iT3,B1,no,8,46.351,0.81,88.832
IT3a4_17.3.6_2,iT3,B1,no,9,51.367,1.494,90.326
IT3a4_17.3.6_2,iT3,B1,no,10,51.088,0.403,90.729
IT3a4_17.3.6_2,iT3,B1,no,11,49.794,2.034,92.763
IT3a4_17.3.6_2,iT3,B1,no,12,49.648,1.491,94.254
IT3a4_17.3.6_2,iT3,B1,no,13,48.841,1.087,95.341
IT3a4_17.3.6_2,iT3,B1,no,14,48.38,0.544,95.885
IT3a4_17.3.6_2,iT3,B1,no,15,49.455,1.901,97.786
IT3a4_17.3.6_2,iT3,B1,no,16,48.316,0.951,98.737
IT3a4_17.3.6_2,iT3,B1,no,17,49.228,0.811,99.548
IT3a4_17.3.6_2,iT3,B1,no,18,49.797,1.083,100.631
IT3a4_17.3.6_2,iT3,B1,no,19,49.589,2.58,103.211
IT3a4_17.3.6_2,iT3,T1,yes,0,59.246,0,146.363
IT3a4_17.3.6_2,iT3,T1,yes,1,69.842,0.303,146.666
IT3a4_17.3.6_2,iT3,T1,yes,2,65.862,1.196,147.862
IT3a4_17.3.6_2,iT3,T1,yes,3,71.922,0.621,148.483
IT3a4_17.3.6_2,iT3,T1,yes,4,77.401,0.924,149.407
IT3a4_17.3.6_2,iT3,T1,yes,5,82.578,1.228,150.635
IT3a4_17.3.6_2,iT3,T1,yes,6,83.805,0.908,151.543
IT3a4_17.3.6_2,iT3,T1,yes,7,89.664,0.925,152.468
IT3a4_17.3.6_2,iT3,T1,yes,8,95.012,0.606,153.074
IT3a4_17.3.6_2,iT3,T1,yes,9,101.957,0.925,153.999
IT3a4_17.3.6_2,iT3,T1,yes,10,101.114,1.497,155.496
IT3a4_17.3.6_2,iT3,T1,yes,11,104.101,0.862,156.358
IT3a4_17.3.6_2,iT3,T1,yes,12,104.748,0.591,156.949
IT3a4_17.3.6_2,iT3,T1,yes,13,109.609,1.212,158.161
IT3a4_17.3.6_2,iT3,T1,yes,14,111.689,1.212,159.373
IT3a4_17.3.6_2,iT3,T1,yes,15,115.022,0.895,160.268
IT3a4_17.3.6_2,iT3,T1,yes,16,121.658,1.212,161.48
IT3a4_17.3.6_2,iT3,T1,yes,17,122.567,0.619,162.099
IT3a4_17.3.6_2,iT3,T1,yes,18,125.295,1.199,163.298
IT3a4_17.3.6_2,iT3,T1,yes,19,126.811,0.329,163.627
IT3a4_17.3.6_2,iT3,B1,yes,0,45.725,0,105.182
IT3a4_17.3.6_2,iT3,B1,yes,1,49.22,0.252,105.434
IT3a4_17.3.6_2,iT3,B1,yes,2,45.954,1.355,106.789
IT3a4_17.3.6_2,iT3,B1,yes,3,44.487,1.229,108.018
IT3a4_17.3.6_2,iT3,B1,yes,4,53.103,0.381,108.399
IT3a4_17.3.6_2,iT3,B1,yes,5,61.608,0.678,109.077
IT3a4_17.3.6_2,iT3,B1,yes,6,52.146,0.423,109.5
IT3a4_17.3.6_2,iT3,B1,yes,7,52.428,0.127,109.627
IT3a4_17.3.6_2,iT3,B1,yes,8,60.161,1.209,110.836
IT3a4_17.3.6_2,iT3,B1,yes,9,64.279,0.422,111.258
IT3a4_17.3.6_2,iT3,B1,yes,10,67.472,0.149,111.407
IT3a4_17.3.6_2,iT3,B1,yes,11,71.873,0.426,111.833
IT3a4_17.3.6_2,iT3,B1,yes,12,73.657,0.276,112.109
IT3a4_17.3.6_2,iT3,B1,yes,13,72.762,0.251,112.36
IT3a4_17.3.6_2,iT3,B1,yes,14,73.222,0.303,112.663
IT3a4_17.3.6_2,iT3,B1,yes,15,73.969,0.651,113.314
IT3a4_17.3.6_2,iT3,B1,yes,16,73.612,0.276,113.59
IT3a4_17.3.6_2,iT3,B1,yes,17,73.075,1.105,114.695
IT3a4_17.3.6_2,iT3,B1,yes,18,73.66,-0.524,114.171
IT3a4_17.3.6_2,iT3,B1,yes,19,75.006,1.632,115.803
iT3a4_17.3.7_1,iT3,B1,yes,0,60.57,0,65.116
iT3a4_17.3.7_1,iT3,B1,yes,1,61.822,1.411,66.527
iT3a4_17.3.7_1,iT3,B1,yes,2,66.912,1.612,68.139
iT3a4_17.3.7_1,iT3,B1,yes,3,71.791,1.612,69.751
iT3a4_17.3.7_1,iT3,B1,yes,4,73.844,0.822,70.573
iT3a4_17.3.7_1,iT3,B1,yes,5,75.285,1.024,71.597
iT3a4_17.3.7_1,iT3,B1,yes,6,69.911,1.193,72.79
iT3a4_17.3.7_1,iT3,B1,yes,7,70.118,0.187,72.977
iT3a4_17.3.7_1,iT3,B1,yes,8,72.764,1.442,74.419
iT3a4_17.3.7_1,iT3,B1,yes,9,70.689,1.395,75.814
iT3a4_17.3.7_1,iT3,B1,yes,10,70.666,2.197,78.011
iT3a4_17.3.7_1,iT3,B1,yes,11,76.156,1.642,79.653
iT3a4_17.3.7_1,iT3,B1,yes,12,80.725,1.412,81.065
iT3a4_17.3.7_1,iT3,B1,yes,13,84.127,0.619,81.684
iT3a4_17.3.7_1,iT3,B1,yes,14,74.443,1.426,83.11
iT3a4_17.3.7_1,iT3,B1,yes,15,74.174,0.821,83.931
iT3a4_17.3.7_1,iT3,B1,yes,16,72.403,0.838,84.769
iT3a4_17.3.7_1,iT3,B1,yes,17,76.428,0.838,85.607
iT3a4_17.3.7_1,iT3,B1,yes,18,76.728,1.024,86.631
iT3a4_17.3.7_1,iT3,B1,yes,19,73.001,1.042,87.673
iT3a4_17.3.7_1,iT3,B1,no,0,49.866,0,96.785
iT3a4_17.3.7_1,iT3,B1,no,1,51.322,1.577,98.362
iT3a4_17.3.7_1,iT3,B1,no,2,49.845,0.582,98.944
iT3a4_17.3.7_1,iT3,B1,no,3,54.687,1.003,99.947
iT3a4_17.3.7_1,iT3,B1,no,4,55.88,1.061,101.008
iT3a4_17.3.7_1,iT3,B1,no,5,54.99,0.664,101.672
iT3a4_17.3.7_1,iT3,B1,no,6,53.517,1.277,102.949
iT3a4_17.3.7_1,iT3,B1,no,7,55.052,0.219,103.168
iT3a4_17.3.7_1,iT3,B1,no,8,56.698,0.638,103.806
iT3a4_17.3.7_1,iT3,B1,no,9,57.031,0.429,104.235
iT3a4_17.3.7_1,iT3,B1,no,10,56.285,1.068,105.303
iT3a4_17.3.7_1,iT3,B1,no,11,56.366,0.009,105.312
iT3a4_17.3.7_1,iT3,B1,no,12,55.355,0.63,105.942
iT3a4_17.3.7_1,iT3,B1,no,13,56.497,0.212,106.154
iT3a4_17.3.7_1,iT3,B1,no,14,54.654,0.857,107.011
iT3a4_17.3.7_1,iT3,B1,no,15,57.494,0.007,107.018
iT3a4_17.3.7_1,iT3,B1,no,16,55.558,1.286,108.304
iT3a4_17.3.7_1,iT3,B1,no,17,56.696,0.858,109.162
iT3a4_17.3.7_1,iT3,B1,no,18,56.834,0.437,109.599
iT3a4_17.3.7_1,iT3,B1,no,19,52.946,0.414,110.013
Wta5_17.3.7_1,WT,T1,no,0,66.587,0,78.853
Wta5_17.3.7_1,WT,T1,no,1,66.886,1.721,80.574
Wta5_17.3.7_1,WT,T1,no,2,67.804,1.168,81.742
Wta5_17.3.7_1,WT,T1,no,3,66.768,1.169,82.911
Wta5_17.3.7_1,WT,T1,no,4,66.886,1.862,84.773
Wta5_17.3.7_1,WT,T1,no,5,64.734,0.638,85.411
Wta5_17.3.7_1,WT,T1,no,6,64.152,1.224,86.635
Wta5_17.3.7_1,WT,T1,no,7,62.875,1.614,88.249
Wta5_17.3.7_1,WT,T1,no,8,59.486,1.577,89.826
Wta5_17.3.7_1,WT,T1,no,9,60.495,1.171,90.997
Wta5_17.3.7_1,WT,T1,no,10,63.871,1.578,92.575
Wta5_17.3.7_1,WT,T1,no,11,64.483,0.585,93.16
Wta5_17.3.7_1,WT,T1,no,12,62.704,1.418,94.578
Wta5_17.3.7_1,WT,T1,no,13,66.5,1.171,95.749
Wta5_17.3.7_1,WT,T1,no,14,63.205,1.667,97.416
Wta5_17.3.7_1,WT,T1,no,15,61.893,1.368,98.784
Wta5_17.3.7_1,WT,T1,no,16,62.16,1.616,100.4
Wta5_17.3.7_1,WT,T1,no,17,59.261,1.225,101.625
Wta5_17.3.7_1,WT,T1,no,18,58.984,1.42,103.045
Wta5_17.3.7_1,WT,T1,no,19,61.427,1.863,104.908
Wta5_17.3.7_1,WT,B1,no,0,48.823,0,114.087
Wta5_17.3.7_1,WT,B1,no,1,51.61,2.244,116.331
Wta5_17.3.7_1,WT,B1,no,2,49.766,1.407,117.738
Wta5_17.3.7_1,WT,B1,no,3,47.634,1.243,118.981
Wta5_17.3.7_1,WT,B1,no,4,46.422,1.047,120.028
Wta5_17.3.7_1,WT,B1,no,5,47.96,1.414,121.442
Wta5_17.3.7_1,WT,B1,no,6,47.008,1.615,123.057
Wta5_17.3.7_1,WT,B1,no,7,43.374,1.858,124.915
Wta5_17.3.7_1,WT,B1,no,8,43.366,0.819,125.734
Wta5_17.3.7_1,WT,B1,no,9,42.162,2.199,127.933
Wta5_17.3.7_1,WT,B1,no,10,43.382,1.48,129.413
Wta5_17.3.7_1,WT,B1,no,11,39.138,1.401,130.814
Wta5_17.3.7_1,WT,B1,no,12,40.047,1.592,132.406
Wta5_17.3.7_1,WT,B1,no,13,40.07,1.043,133.449
Wta5_17.3.7_1,WT,B1,no,14,40.039,0.796,134.245
Wta5_17.3.7_1,WT,B1,no,15,38.21,2.232,136.477
Wta5_17.3.7_1,WT,B1,no,16,40.64,0.403,136.88
Wta5_17.3.7_1,WT,B1,no,17,41.242,1.021,137.901
Wta5_17.3.7_1,WT,B1,no,18,41.246,1.413,139.314
Wta5_17.3.7_1,WT,B1,no,19,39.424,1.211,140.525
Wta5_17.3.7_1,WT,B2,no,0,58.047,0,73.903
Wta5_17.3.7_1,WT,B2,no,1,53.458,1.676,75.579
Wta5_17.3.7_1,WT,B2,no,2,50.73,0.726,76.305
Wta5_17.3.7_1,WT,B2,no,3,50.316,0.901,77.206
Wta5_17.3.7_1,WT,B2,no,4,47.761,2.873,80.079
Wta5_17.3.7_1,WT,B2,no,5,49.22,0.739,80.818
Wta5_17.3.7_1,WT,B2,no,6,48.88,1.242,82.06
Wta5_17.3.7_1,WT,B2,no,7,53.103,0.821,82.881
Wta5_17.3.7_1,WT,B2,no,8,50.373,1.529,84.41
Wta5_17.3.7_1,WT,B2,no,9,47.424,1.042,85.452
Wta5_17.3.7_1,WT,B2,no,10,47.387,2.105,87.557
Wta5_17.3.7_1,WT,B2,no,11,46.19,0.486,88.043
Wta5_17.3.7_1,WT,B2,no,12,43.88,1.531,89.574
Wta5_17.3.7_1,WT,B2,no,13,43.023,0.673,90.247
Wta5_17.3.7_1,WT,B2,no,14,43.203,1.245,91.492
Wta5_17.3.7_1,WT,B2,no,15,42.091,1.345,92.837
Wta5_17.3.7_1,WT,B2,no,16,40.306,1.146,93.983
Wta5_17.3.7_1,WT,B2,no,17,42.292,0.099,94.082
Wta5_17.3.7_1,WT,B2,no,18,41.452,1.819,95.901
Wta5_17.3.7_1,WT,B2,no,19,42.578,1.246,97.147
Wta5_17.3.7_1,WT,T1,yes,0,59.65,0,123.302
Wta5_17.3.7_1,WT,T1,yes,1,62.704,0.647,123.949
Wta5_17.3.7_1,WT,T1,yes,2,65.148,1.144,125.093
Wta5_17.3.7_1,WT,T1,yes,3,62.316,0.909,126.002
Wta5_17.3.7_1,WT,T1,yes,4,63.871,0.252,126.254
Wta5_17.3.7_1,WT,T1,yes,5,71.147,1.801,128.055
Wta5_17.3.7_1,WT,T1,yes,6,69.758,0.639,128.694
Wta5_17.3.7_1,WT,T1,yes,7,71.147,0.445,129.139
Wta5_17.3.7_1,WT,T1,yes,8,74.047,1.22,130.359
Wta5_17.3.7_1,WT,T1,yes,9,69.093,0.445,130.804
Wta5_17.3.7_1,WT,T1,yes,10,70.37,1.608,132.412
Wta5_17.3.7_1,WT,T1,yes,11,71.424,1.142,133.554
Wta5_17.3.7_1,WT,T1,yes,12,75.597,0.891,134.445
Wta5_17.3.7_1,WT,T1,yes,13,81.871,0.832,135.277
Wta5_17.3.7_1,WT,T1,yes,14,79.589,1.278,136.555
Wta5_17.3.7_1,WT,T1,yes,15,78.272,0.891,137.446
Wta5_17.3.7_1,WT,T1,yes,16,79.315,0.95,138.396
Wta5_17.3.7_1,WT,T1,yes,17,81.484,0.698,139.094
Wta5_17.3.7_1,WT,T1,yes,18,81.601,0.951,140.045
Wta5_17.3.7_1,WT,T1,yes,19,78.514,1.219,141.264
Wta5_17.3.7_1,WT,B1,yes,0,44.897,0,140.134
Wta5_17.3.7_1,WT,B1,yes,1,48.838,1.617,141.751
Wta5_17.3.7_1,WT,B1,yes,2,50.96,1.217,142.968
Wta5_17.3.7_1,WT,B1,yes,3,56.122,0.4,143.368
Wta5_17.3.7_1,WT,B1,yes,4,54.336,0.414,143.782
Wta5_17.3.7_1,WT,B1,yes,5,54.956,0.404,144.186
Wta5_17.3.7_1,WT,B1,yes,6,57.127,1.01,145.196
Wta5_17.3.7_1,WT,B1,yes,7,58.925,0.005,145.201
Wta5_17.3.7_1,WT,B1,yes,8,60.844,1.42,146.621
Wta5_17.3.7_1,WT,B1,yes,9,64.997,0.188,146.809
Wta5_17.3.7_1,WT,B1,yes,10,61.686,1.212,148.021
Wta5_17.3.7_1,WT,B1,yes,11,63.219,0.198,148.219
Wta5_17.3.7_1,WT,B1,yes,12,65.639,0.805,149.024
Wta5_17.3.7_1,WT,B1,yes,13,63.502,0.408,149.432
Wta5_17.3.7_1,WT,B1,yes,14,63.804,0.813,150.245
Wta5_17.3.7_1,WT,B1,yes,15,63.262,0.606,150.851
Wta5_17.3.7_1,WT,B1,yes,16,64.45,0.404,151.255
Wta5_17.3.7_1,WT,B1,yes,17,64.574,0.616,151.871
Wta5_17.3.7_1,WT,B1,yes,18,66.309,0.611,152.482
Wta5_17.3.7_1,WT,B1,yes,19,68.776,0.612,153.094
Wta5_17.3.7_1,WT,B2,yes,0,45.028,0,106.183
Wta5_17.3.7_1,WT,B2,yes,1,42.041,0.028,106.211
Wta5_17.3.7_1,WT,B2,yes,2,46.662,1.44,107.651
Wta5_17.3.7_1,WT,B2,yes,3,42.474,1.781,109.432
Wta5_17.3.7_1,WT,B2,yes,4,46.405,1.27,110.702
Wta5_17.3.7_1,WT,B2,yes,5,45.177,-0.961,109.741
Wta5_17.3.7_1,WT,B2,yes,6,48.841,1.724,111.465
Wta5_17.3.7_1,WT,B2,yes,7,45.863,0.873,112.338
Wta5_17.3.7_1,WT,B2,yes,8,48.187,1.102,113.44
Wta5_17.3.7_1,WT,B2,yes,9,44.998,1.781,115.221
Wta5_17.3.7_1,WT,B2,yes,10,46.52,-0.708,114.513
Wta5_17.3.7_1,WT,B2,yes,11,47.059,1.784,116.297
Wta5_17.3.7_1,WT,B2,yes,12,44.372,2.028,118.325
Wta5_17.3.7_1,WT,B2,yes,13,47.466,1.61,119.935
Wta5_17.3.7_1,WT,B2,yes,14,45.432,1.613,121.548
Wta5_17.3.7_1,WT,B2,yes,15,46.258,0.366,121.914
Wta5_17.3.7_1,WT,B2,yes,16,47.876,0.695,122.609
Wta5_17.3.7_1,WT,B2,yes,17,44.364,1.285,123.894
Wta5_17.3.7_1,WT,B2,yes,18,34.316,0.502,124.396
Wta5_17.3.7_1,WT,B2,yes,19,28.762,1.383,125.779
Wta5_17.3.25_1,WT,T1,no,0,59.456,0,248.695
Wta5_17.3.25_1,WT,T1,no,1,67.668,1.946,250.641
Wta5_17.3.25_1,WT,T1,no,2,61.232,1.262,251.903
Wta5_17.3.25_1,WT,T1,no,3,66.231,1.852,253.755
Wta5_17.3.25_1,WT,T1,no,4,62.74,1.241,254.996
Wta5_17.3.25_1,WT,T1,no,5,54.669,0.848,255.844
Wta5_17.3.25_1,WT,T1,no,6,53.331,1.524,257.368
Wta5_17.3.25_1,WT,T1,no,7,53.91,2.308,259.676
Wta5_17.3.25_1,WT,T1,no,8,51.819,0.831,260.507
Wta5_17.3.25_1,WT,T1,no,9,49.737,1.744,262.251
Wta5_17.3.25_1,WT,T1,no,10,49.903,1.019,263.27
Wta5_17.3.25_1,WT,T1,no,11,58.325,0.11,263.38
Wta5_17.3.25_1,WT,T1,no,12,50.635,2.026,265.406
Wta5_17.3.25_1,WT,T1,no,13,52.237,1.069,266.475
Wta5_17.3.25_1,WT,T1,no,14,58.504,0.675,267.15
Wta5_17.3.25_1,WT,T1,no,15,52.936,0.737,267.887
Wta5_17.3.25_1,WT,T1,no,16,53.702,1.118,269.005
Wta5_17.3.25_1,WT,T1,no,17,56.587,0.515,269.52
Wta5_17.3.25_1,WT,T1,no,18,62.16,0.272,269.792
Wta5_17.3.25_1,WT,T1,no,19,69.433,1.915,271.707
Wta5_17.3.25_1,WT,T2,no,0,44.479,0,103.362
Wta5_17.3.25_1,WT,T2,no,1,45.754,1.512,104.874
Wta5_17.3.25_1,WT,T2,no,2,47.314,2.118,106.992
Wta5_17.3.25_1,WT,T2,no,3,47.718,1.253,108.245
Wta5_17.3.25_1,WT,T2,no,4,47.754,0.562,108.807
Wta5_17.3.25_1,WT,T2,no,5,44.102,1.577,110.384
Wta5_17.3.25_1,WT,T2,no,6,47.307,0.541,110.925
Wta5_17.3.25_1,WT,T2,no,7,46.094,0.571,111.496
Wta5_17.3.25_1,WT,T2,no,8,44.477,0.633,112.129
Wta5_17.3.25_1,WT,T2,no,9,45.706,1.811,113.94
Wta5_17.3.25_1,WT,T2,no,10,44.08,0.245,114.185
Wta5_17.3.25_1,WT,T2,no,11,44.881,0.879,115.064
Wta5_17.3.25_1,WT,T2,no,12,43.266,0.881,115.945
Wta5_17.3.25_1,WT,T2,no,13,44.523,0.354,116.299
Wta5_17.3.25_1,WT,T2,no,14,46.584,2.693,118.992
Wta5_17.3.25_1,WT,T2,no,15,49.355,0.105,119.097
Wta5_17.3.25_1,WT,T2,no,16,47.447,1.229,120.326
Wta5_17.3.25_1,WT,T2,no,17,45.401,1.211,121.537
Wta5_17.3.25_1,WT,T2,no,18,50.621,0.605,122.142
Wta5_17.3.25_1,WT,T2,no,19,50.645,0.019,122.161
Wta5_17.3.25_1,WT,T3,no,0,58.872,0,98.132
Wta5_17.3.25_1,WT,T3,no,1,60.587,1.886,100.018
Wta5_17.3.25_1,WT,T3,no,2,58.387,2.251,102.269
Wta5_17.3.25_1,WT,T3,no,3,56.775,0.537,102.806
Wta5_17.3.25_1,WT,T3,no,4,58.478,0.979,103.785
Wta5_17.3.25_1,WT,T3,no,5,56.529,1.874,105.659
Wta5_17.3.25_1,WT,T3,no,6,56.958,1.876,107.535
Wta5_17.3.25_1,WT,T3,no,7,54.685,1.575,109.11
Wta5_17.3.25_1,WT,T3,no,8,50.626,0.85,109.96
Wta5_17.3.25_1,WT,T3,no,9,51.212,0.425,110.385
Wta5_17.3.25_1,WT,T3,no,10,49.355,1.333,111.718
Wta5_17.3.25_1,WT,T3,no,11,51.28,1.516,113.234
Wta5_17.3.25_1,WT,T3,no,12,47.335,1.275,114.509
Wta5_17.3.25_1,WT,T3,no,13,47.954,1.033,115.542
Wta5_17.3.25_1,WT,T3,no,14,48.197,0.184,115.726
Wta5_17.3.25_1,WT,T3,no,15,48.278,1.035,116.761
Wta5_17.3.25_1,WT,T3,no,16,47.388,1.147,117.908
Wta5_17.3.25_1,WT,T3,no,17,46.101,0.241,118.149
Wta5_17.3.25_1,WT,T3,no,18,45.043,1.696,119.845
Wta5_17.3.25_1,WT,T3,no,19,47.236,0.487,120.332
Wta5_17.3.25_1,WT,T1,yes,0,64.489,0,269.572
Wta5_17.3.25_1,WT,T1,yes,1,61.687,0.945,270.517
Wta5_17.3.25_1,WT,T1,yes,2,65.684,0.006,270.523
Wta5_17.3.25_1,WT,T1,yes,3,69.284,1.228,271.751
Wta5_17.3.25_1,WT,T1,yes,4,64.329,0.169,271.92
Wta5_17.3.25_1,WT,T1,yes,5,59.601,0.149,272.069
Wta5_17.3.25_1,WT,T1,yes,6,59.918,0.904,272.973
Wta5_17.3.25_1,WT,T1,yes,7,70.942,0.001,272.974
Wta5_17.3.25_1,WT,T1,yes,8,79.676,0.547,273.521
Wta5_17.3.25_1,WT,T1,yes,9,72.603,0.356,273.877
Wta5_17.3.25_1,WT,T1,yes,10,70.942,0.166,274.043
Wta5_17.3.25_1,WT,T1,yes,11,84.48,0.19,274.233
Wta5_17.3.25_1,WT,T1,yes,12,82.904,0.904,275.137
Wta5_17.3.25_1,WT,T1,yes,13,75.958,0.166,275.303
Wta5_17.3.25_1,WT,T1,yes,14,71.397,0.573,275.876
Wta5_17.3.25_1,WT,T1,yes,15,73.816,0.165,276.041
Wta5_17.3.25_1,WT,T1,yes,16,85.45,0.547,276.588
Wta5_17.3.25_1,WT,T1,yes,17,95.915,0.904,277.492
Wta5_17.3.25_1,WT,T1,yes,18,91.726,0.547,278.039
Wta5_17.3.25_1,WT,T1,yes,19,92.016,0.192,278.231
Wta5_17.3.25_1,WT,T2,yes,0,63.16,0,112.974
Wta5_17.3.25_1,WT,T2,yes,1,62.189,0.223,113.197
Wta5_17.3.25_1,WT,T2,yes,2,62.977,1.393,114.59
Wta5_17.3.25_1,WT,T2,yes,3,61.006,0.59,115.18
Wta5_17.3.25_1,WT,T2,yes,4,57.485,0.223,115.403
Wta5_17.3.25_1,WT,T2,yes,5,67.175,0.366,115.769
Wta5_17.3.25_1,WT,T2,yes,6,74.336,0.379,116.148
Wta5_17.3.25_1,WT,T2,yes,7,71.686,0.73,116.878
Wta5_17.3.25_1,WT,T2,yes,8,72.674,0.66,117.538
Wta5_17.3.25_1,WT,T2,yes,9,72.583,0.365,117.903
Wta5_17.3.25_1,WT,T2,yes,10,71.982,0.173,118.076
Wta5_17.3.25_1,WT,T2,yes,11,77.57,0.295,118.371
Wta5_17.3.25_1,WT,T2,yes,12,77.282,0.366,118.737
Wta5_17.3.25_1,WT,T2,yes,13,76.59,0.295,119.032
Wta5_17.3.25_1,WT,T2,yes,14,80.324,0.295,119.327
Wta5_17.3.25_1,WT,T2,yes,15,79.139,0.295,119.622
Wta5_17.3.25_1,WT,T2,yes,16,80.925,0.955,120.577
Wta5_17.3.25_1,WT,T2,yes,17,81.984,0.59,121.167
Wta5_17.3.25_1,WT,T2,yes,18,77.67,0.437,121.604
